feature,importance
vehicle_claim,0.07835647402261295
months_as_customer,0.07383081276609373
total_claim_amount,0.0714316206910253
incident_day,0.06148100423593259
customer_age,0.06136472672713309
incident_hour,0.059081999391254775
num_witnesses,0.054907452008777655
injury_claim,0.05156079319965519
incident_month,0.04731448759081773
auto_year,0.04216277265847092
incident_dow,0.04144658755408355
num_vehicles_involved,0.03345144782484409
num_injuries,0.03257350231944572
num_insurers_past_5_years,0.03080424145329615
customer_gender_male,0.026223020581103675
customer_education,0.025951331097624417
policy_liability,0.02224836206917345
policy_annual_premium,0.021529073566542746
customer_gender_female,0.015240390928895483
incident_severity,0.01440850966781121
police_report_available,0.012394572678814688
collision_type_front,0.009026669568172977
policy_state_ca,0.008943917248682053
collision_type_rear,0.00887773537899394
num_claims_past_year,0.008045420965010347
collision_type_side,0.008041245077077541
driver_relationship_self,0.0072959636459263375
authorities_contacted_none,0.006938762839764414
authorities_contacted_police,0.006411464839724272
policy_state_wa,0.005815964692142128
policy_state_az,0.005795527926882815
policy_state_or,0.004642220622169425
driver_relationship_spouse,0.00440017265765391
incident_type_breakin,0.004372285969767956
policy_state_nv,0.004316117631597595
collision_type_na,0.003783840485749119
driver_relationship_na,0.003652343360854017
incident_type_collision,0.003649407185602153
driver_relationship_child,0.003511912088439742
incident_type_theft,0.003473287999417402
driver_relationship_other,0.0031957177547759746
policy_state_id,0.0030976485004847276
authorities_contacted_ambulance,0.002811207476324652
authorities_contacted_fire,0.0011380177766696093
policy_deductable,0.0009999652747075967
