model,validation_average_precision,validation_roc_auc,validation_f1_at_selected_threshold,test_average_precision,test_roc_auc,test_f1_at_selected_threshold,selected_threshold
random_forest,0.2639463148226588,0.8384574963979998,0.34418604651162793,0.3743933296763917,0.8121327690668797,0.3706293706293706,0.1
catboost,0.2030951257377535,0.7923654546995509,0.2810810810810811,0.3112892992923805,0.8310550451080263,0.37656903765690375,0.5751701643183496
xgboost,0.14428897515107456,0.7735062293414695,0.20869565217391303,0.20966871909023482,0.8093998635107693,0.2866666666666667,0.588958203792572
logistic,0.06433044277356532,0.7383540978048987,0.12549019607843137,0.10464880738446691,0.7193585838410067,0.1651376146788991,0.7791099981478357
