threshold,flagged_claims,tp,fp,fn,tn,accuracy,balanced_accuracy,precision,recall,f1,f2
0.1,162,53,109,71,3767,0.955,0.699648789906455,0.3271604938271605,0.4274193548387097,0.3706293706293706,0.4027355623100304
0.2,19,18,1,106,3875,0.97325,0.572451646193282,0.9473684210526315,0.14516129032258066,0.2517482517482518,0.17475728155339806
0.3,4,4,0,120,3876,0.97,0.5161290322580645,1.0,0.03225806451612903,0.0625,0.04
0.4,0,0,0,124,3876,0.969,0.5,0.0,0.0,0.0,0.0
0.5,0,0,0,124,3876,0.969,0.5,0.0,0.0,0.0,0.0
0.7,0,0,0,124,3876,0.969,0.5,0.0,0.0,0.0,0.0
