threshold,flagged_claims,tp,fp,fn,tn,accuracy,balanced_accuracy,precision,recall,f1,f2
0.2,1144,92,1052,32,2824,0.729,0.7352608275907986,0.08041958041958042,0.7419354838709677,0.14511041009463724,0.2804878048780488
0.3,715,81,634,43,3242,0.83075,0.7448275575085721,0.11328671328671329,0.6532258064516129,0.19308700834326578,0.3344343517753922
0.4,426,69,357,55,3519,0.897,0.7321731748726655,0.1619718309859155,0.5564516129032258,0.2509090909090909,0.37418655097613884
0.5,223,53,170,71,3706,0.93975,0.6917798528579513,0.23766816143497757,0.4274193548387097,0.30547550432276654,0.36856745479833103
0.5751701643183496,115,45,70,79,3806,0.96275,0.6724216851426479,0.391304347826087,0.3629032258064516,0.37656903765690375,0.36824877250409166
0.7,35,21,14,103,3862,0.97075,0.5828714338027231,0.6,0.1693548387096774,0.2641509433962264,0.1977401129943503
