threshold,flagged_claims,tp,fp,fn,tn,accuracy,balanced_accuracy,precision,recall,f1,f2
0.2,1100,93,1007,31,2869,0.7405,0.7450980392156863,0.08454545454545455,0.75,0.15196078431372548,0.29135338345864664
0.3,755,79,676,45,3200,0.81975,0.7313450847231932,0.10463576158940398,0.6370967741935484,0.17974971558589306,0.31574740207833735
0.4,525,66,459,58,3417,0.87075,0.706918505942275,0.12571428571428572,0.532258064516129,0.2033898305084746,0.3232125367286974
0.5,319,56,263,68,3613,0.91725,0.691879723026732,0.1755485893416928,0.45161290322580644,0.2528216704288939,0.34355828220858897
0.588958203792572,176,43,133,81,3743,0.9465,0.6562302340290955,0.24431818181818182,0.3467741935483871,0.2866666666666667,0.31994047619047616
0.7,61,24,37,100,3839,0.96575,0.5920012317320816,0.39344262295081966,0.1935483870967742,0.2594594594594595,0.21543985637342908
